Date (GMT+2),Non-Renewable,Renewable,Day Ahead Auction (DE-LU)
",Power (MW),Power (MW),""Price (EUR/MWh, EUR/tCO2)"""
2025-06-03T17:00+02:00,,,66
2025-06-03T18:00+02:00,,,87.79
2025-06-03T19:00+02:00,,,109.41
2025-06-03T20:00+02:00,,,132.9
2025-06-03T21:00+02:00,,,112.29
2025-06-03T22:00+02:00,,,106.12
2025-06-03T23:00+02:00,,,95.49
2025-06-04T00:00+02:00,,,74.95
2025-06-04T01:00+02:00,,,67.25
2025-06-04T02:00+02:00,,,64.78
2025-06-04T03:00+02:00,,,65
2025-06-04T04:00+02:00,,,68.32
2025-06-04T05:00+02:00,,,80.32
2025-06-04T06:00+02:00,,,99.77
2025-06-04T07:00+02:00,,,113.74
2025-06-04T08:00+02:00,,,112.4
2025-06-04T09:00+02:00,,,79.08
2025-06-04T10:00+02:00,,,72.4
2025-06-04T11:00+02:00,,,48.36
2025-06-04T12:00+02:00,,,20.12
2025-06-04T13:00+02:00,,,9.69
2025-06-04T14:00+02:00,,,18.26
2025-06-04T15:00+02:00,,,43.35
2025-06-04T16:00+02:00,,,72.4
2025-06-04T17:00+02:00,,,91.45
2025-06-04T18:00+02:00,,,108.91
2025-06-04T19:00+02:00,,,145.98
2025-06-04T20:00+02:00,,,192.85
2025-06-04T21:00+02:00,,,138.82
2025-06-04T22:00+02:00,,,112.43
2025-06-04T23:00+02:00,,,94.08
